facility_id,timestamp,emission,power_in_MW,name,network_region,units,latitude,longitude,fuel_source,value_price_in_$/MWh,value_demand_in_MW
BLYTHB,2025-10-01T00:00:00+10:00,0.0,0.44,Blyth,SA,"[{'code': 'BLYTHB1', 'fueltech_id': 'battery', 'status_id': 'operating', 'capacity_registered': 281.0, 'capacity_maximum': 200.0, 'capacity_storage': 400.0, 'data_first_seen': '2024-09-06T13:55:00+10:00', 'data_last_seen': '2025-11-04T18:30:00+10:00', 'dispatch_type': 'BIDIRECTIONAL', 'created_at': '2024-10-13T04:32:04Z', 'updated_at': '2024-12-17T01:01:17Z'}, {'code': 'BLYTHB1G1', 'fueltech_id': 'battery_discharging', 'status_id': 'operating', 'capacity_registered': 281.0, 'capacity_maximum': 200.0, 'capacity_storage': 400.0, 'data_first_seen': '2024-09-06T13:55:00+10:00', 'data_last_seen': '2025-11-04T18:30:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2024-11-09T09:48:05Z', 'updated_at': '2024-12-17T01:01:44Z'}, {'code': 'BLYTHB1L1', 'fueltech_id': 'battery_charging', 'status_id': 'operating', 'capacity_registered': 281.0, 'capacity_maximum': 200.0, 'capacity_storage': 400.0, 'data_first_seen': '2024-08-20T00:05:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'LOAD', 'created_at': '2024-11-09T09:44:19Z', 'updated_at': '2024-12-17T01:01:32Z'}]",-33.848475,138.403204,battery,8.11,1564.92
BOCOROCK,2025-10-01T00:00:00+10:00,0.0,54.23,Boco Rock,NSW,"[{'code': 'BOCORWF1', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 113.18, 'capacity_maximum': 111.0, 'data_first_seen': '2014-08-29T00:10:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:38Z', 'updated_at': '2025-09-09T01:16:14Z'}]",-36.574527,149.124863,wind,56.98,7105.57
BODWF,2025-10-01T00:00:00+10:00,0.0,45.192,Bodangora,NSW,"[{'code': 'BODWF1', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 113.19, 'capacity_maximum': 111.0, 'data_first_seen': '2018-08-08T11:40:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:38Z', 'updated_at': '2025-09-09T01:16:56Z'}]",-32.407128,149.04133,wind,56.98,7105.57
BRNDBES,2025-10-01T00:00:00+10:00,0.0,0.137,Brendale,QLD,"[{'code': 'BRNDBES1', 'fueltech_id': 'battery', 'status_id': 'operating', 'capacity_registered': 215.0, 'capacity_maximum': 205.0, 'capacity_storage': 410.0, 'data_first_seen': '2025-09-09T15:45:00+08:00', 'data_last_seen': '2025-10-30T11:20:00+08:00', 'dispatch_type': 'BIDIRECTIONAL', 'created_at': '2025-01-17T03:49:18Z', 'updated_at': '2025-09-23T02:54:27Z'}, {'code': 'BRNDBESL1', 'fueltech_id': 'battery_charging', 'status_id': 'operating', 'capacity_registered': 215.0, 'capacity_maximum': 205.0, 'capacity_storage': 410.0, 'data_first_seen': '2025-09-02T00:05:00+08:00', 'data_last_seen': '2025-11-04T21:25:00+08:00', 'dispatch_type': 'LOAD', 'created_at': '2025-03-14T05:54:25Z', 'updated_at': '2025-09-23T02:54:15Z'}, {'code': 'BRNDBESG1', 'fueltech_id': 'battery_discharging', 'status_id': 'operating', 'capacity_registered': 215.0, 'capacity_maximum': 205.0, 'capacity_storage': 410.0, 'data_first_seen': '2025-09-09T15:45:00+08:00', 'data_last_seen': '2025-10-30T11:20:00+08:00', 'dispatch_type': 'GENERATOR', 'created_at': '2025-03-14T05:56:16Z', 'updated_at': '2025-09-23T02:54:01Z'}]",-27.329333,152.974384,battery,54.82,5989.24
BRYB1WF1,2025-10-01T00:00:00+10:00,0.0,126.879,Berrybank,VIC,"[{'code': 'BRYB2WF2', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 109.0, 'capacity_maximum': 105.0, 'data_first_seen': '2022-11-29T08:50:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:39Z', 'updated_at': '2025-05-06T05:01:28Z'}, {'code': 'BRYB1WF1', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 180.6, 'capacity_maximum': 175.9, 'data_first_seen': '2021-02-16T01:05:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:39Z', 'updated_at': '2025-05-06T04:59:35Z'}]",-37.980741,143.472217,wind,8.95,4893.49
BULGANA,2025-10-01T00:00:00+10:00,0.0,0.13,Bulgana Green Power Hub,VIC,"[{'code': 'BULBESL1', 'fueltech_id': 'battery_charging', 'status_id': 'operating', 'capacity_registered': 24.0, 'capacity_maximum': 20.0, 'capacity_storage': 34.0, 'data_first_seen': '2021-07-06T19:40:00+10:00', 'data_last_seen': '2025-11-04T21:20:00+10:00', 'dispatch_type': 'LOAD', 'created_at': '2023-10-18T04:34:39Z', 'updated_at': '2025-03-27T23:35:45Z'}, {'code': 'BULBESG1', 'fueltech_id': 'battery_discharging', 'status_id': 'operating', 'capacity_registered': 24.0, 'capacity_maximum': 20.0, 'capacity_storage': 34.0, 'data_first_seen': '2021-07-01T00:05:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:39Z', 'updated_at': '2025-03-27T23:35:27Z'}, {'code': 'BULBES1', 'fueltech_id': 'battery', 'status_id': 'operating', 'capacity_registered': 24.0, 'capacity_maximum': 20.0, 'capacity_storage': 34.0, 'data_first_seen': '2024-10-02T13:10:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'BIDIRECTIONAL', 'created_at': '2024-10-13T04:20:29Z', 'updated_at': '2025-03-27T23:36:12Z'}, {'code': 'BULGANA1', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 204.0, 'capacity_maximum': 204.0, 'data_first_seen': '2020-05-14T11:15:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:39Z', 'updated_at': '2025-04-21T01:02:55Z'}]",-37.039507,142.982799,battery_charging,8.95,4893.49
BUTLERSG,2025-10-01T00:00:00+10:00,0.0,6.4,Butlers Gorge,TAS,"[{'code': 'BUTLERSG', 'fueltech_id': 'hydro', 'status_id': 'operating', 'capacity_registered': 14.4, 'capacity_maximum': 15.0, 'data_first_seen': '2009-07-01T00:05:00+10:00', 'data_last_seen': '2025-11-02T10:30:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:39Z', 'updated_at': '2024-12-17T23:23:03Z'}]",-42.267107,146.262127,hydro,0.12,898.71
BWTR1,2025-10-01T00:00:00+10:00,0.0,25.322,Broadwater,NSW,"[{'code': 'BWTR1', 'fueltech_id': 'bioenergy_biomass', 'status_id': 'operating', 'capacity_registered': 38.0, 'capacity_maximum': 38.0, 'emissions_factor_co2': 0.0289, 'data_first_seen': '2023-08-01T00:05:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:41Z', 'updated_at': '2024-12-17T22:11:08Z'}]",-29.016483,153.445756,bioenergy_biomass,56.98,7105.57
CALLIDEC1,2025-10-01T00:00:00+10:00,29.474,0.0,Callide C,QLD,"[{'code': 'CPP_4', 'fueltech_id': 'coal_black', 'status_id': 'operating', 'capacity_registered': 420.0, 'capacity_maximum': 466.0, 'emissions_factor_co2': 0.887, 'data_first_seen': '2001-08-01T14:40:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:41Z', 'updated_at': '2025-10-07T05:48:14Z'}, {'code': 'CPP_3', 'fueltech_id': 'coal_black', 'status_id': 'operating', 'capacity_registered': 466.0, 'capacity_maximum': 466.0, 'emissions_factor_co2': 0.887, 'data_first_seen': '2001-02-08T10:05:00+10:00', 'data_last_seen': '2025-08-15T13:20:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:41Z', 'updated_at': '2025-10-07T05:47:18Z'}]",-24.347222,150.608611,coal_black,54.82,5989.24
CALL_B,2025-10-01T00:00:00+10:00,22.234,279.2,Callide B,QLD,"[{'code': 'CALL_B_2', 'fueltech_id': 'coal_black', 'status_id': 'operating', 'capacity_registered': 350.0, 'capacity_maximum': 385.0, 'emissions_factor_co2': 0.9556, 'data_first_seen': '1998-12-07T02:50:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:41Z', 'updated_at': '2025-10-07T05:37:09Z'}, {'code': 'CALL_B_1', 'fueltech_id': 'coal_black', 'status_id': 'operating', 'capacity_registered': 350.0, 'capacity_maximum': 385.0, 'emissions_factor_co2': 0.9556, 'data_first_seen': '1998-12-07T02:50:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:41Z', 'updated_at': '2025-10-07T05:37:51Z'}]",-24.333169,150.626322,coal_black,54.82,5989.24
CANUNDA1,2025-10-01T00:00:00+10:00,,26.931,Canunda,SA,"[{'code': 'CNUNDAWF', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 46.0, 'capacity_maximum': 46.0, 'data_first_seen': '2009-07-01T00:05:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:41Z', 'updated_at': '2025-05-08T05:29:16Z'}]",-37.698303,140.383633,wind,8.11,1564.92
CAPBES,2025-10-01T00:00:00+10:00,0.0,1.25,Capital,NSW,"[{'code': 'CAPBES1L', 'fueltech_id': 'battery_charging', 'status_id': 'operating', 'capacity_registered': 125.0, 'capacity_maximum': 100.0, 'capacity_storage': 200.0, 'data_first_seen': '2023-07-25T00:05:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'LOAD', 'created_at': '2023-10-18T04:35:16Z', 'updated_at': '2025-05-06T07:14:43Z'}, {'code': 'CAPBES1', 'fueltech_id': 'battery', 'status_id': 'operating', 'capacity_registered': 125.0, 'capacity_maximum': 100.0, 'capacity_storage': 200.0, 'data_first_seen': '2024-09-24T14:50:00+10:00', 'data_last_seen': '2025-11-04T21:15:00+10:00', 'dispatch_type': 'BIDIRECTIONAL', 'created_at': '2024-10-03T02:02:41Z', 'updated_at': '2025-05-06T07:15:18Z'}, {'code': 'CAPBES1G', 'fueltech_id': 'battery_discharging', 'status_id': 'operating', 'capacity_registered': 125.0, 'capacity_maximum': 100.0, 'capacity_storage': 200.0, 'data_first_seen': '2023-07-26T11:05:00+10:00', 'data_last_seen': '2025-11-04T21:15:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:35:16Z', 'updated_at': '2025-05-06T07:14:59Z'}]",-35.339434,149.216065,battery_charging,56.98,7105.57
CAPTL_WF,2025-10-01T00:00:00+10:00,0.0,114.295,Capital,NSW,"[{'code': 'CAPTL_WF', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 140.0, 'capacity_maximum': 140.0, 'data_first_seen': '2009-07-04T17:10:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:41Z', 'updated_at': '2025-05-06T06:29:47Z'}]",-35.123534,149.500249,wind,56.98,7105.57
CATHROCK,2025-10-01T00:00:00+10:00,0.0,40.0,Cathedral Rocks,SA,"[{'code': 'CATHROCK', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 66.0, 'capacity_maximum': 66.0, 'data_first_seen': '2009-07-01T00:05:00+10:00', 'data_last_seen': '2025-11-04T21:25:00+10:00', 'dispatch_type': 'GENERATOR', 'created_at': '2023-10-18T04:34:41Z', 'updated_at': '2025-05-08T04:07:20Z'}]",-34.848741,135.592649,wind,8.11,1564.92
